"Dam"
Time (hr),Q+ (ft^3/s),Q- (ft^3/s),V+ (ft^3),V- (ft^3)
16.33333333333333,  2.327078700E+001,  2.063798094E-001,  1.448385975E+007,  2.437881960E+004
16.33355069721845,  2.327027040E+001,  2.063824351E-001,  1.448387796E+007,  2.437898110E+004
16.50000000000000,  2.287418863E+001,  2.020931726E-001,  1.449770292E+007,  2.450132983E+004
16.50021749118297,  2.287372917E+001,  2.023352031E-001,  1.449772083E+007,  2.450148825E+004
16.66666666666667,  2.248804431E+001,  1.982983809E-001,  1.451131073E+007,  2.462143177E+004
16.66688428321325,  2.248793585E+001,  1.983800050E-001,  1.451132835E+007,  2.462158718E+004
16.83333333333333,  2.211405849E+001,  1.948545977E-001,  1.452469056E+007,  2.473936554E+004
16.83355107333656,  2.211358112E+001,  1.950664297E-001,  1.452470789E+007,  2.473951845E+004
17.00000000000000,  2.174984082E+001,  1.916744999E-001,  1.453784941E+007,  2.485531179E+004
17.00021786160437,  2.174961222E+001,  1.918365197E-001,  1.453786647E+007,  2.485546225E+004
17.16666666666667,  2.139907573E+001,  1.884948591E-001,  1.455079350E+007,  2.496936432E+004
17.16688464806241,  2.139860217E+001,  1.886386296E-001,  1.455081029E+007,  2.496951235E+004
17.33333333333333,  2.105002461E+001,  1.859330521E-001,  1.456352816E+007,  2.508169902E+004
17.33355143281003,  2.104968963E+001,  1.861452145E-001,  1.456354469E+007,  2.508184517E+004
17.50000000000000,  2.070591087E+001,  1.833561354E-001,  1.457605458E+007,  2.519248357E+004
17.50021821585801,  2.070545905E+001,  1.833759302E-001,  1.457607085E+007,  2.519262763E+004
17.66666666666667,  2.036825548E+001,  1.808507718E-001,  1.458837647E+007,  2.530174045E+004
17.66688499721459,  2.036784563E+001,  1.810626916E-001,  1.458839248E+007,  2.530188276E+004
17.83333333333333,  2.004284997E+001,  1.784291419E-001,  1.460049937E+007,  2.540951820E+004
17.83355177687441,  2.004268595E+001,  1.785499897E-001,  1.460051513E+007,  2.540965861E+004
18.00000000000000,  1.972286076E+001,  1.761601168E-001,  1.461242938E+007,  2.551589338E+004
18.00021855491877,  1.972242241E+001,  1.763028694E-001,  1.461244490E+007,  2.551603209E+004
18.16666666666667,  1.941386416E+001,  1.739167393E-001,  1.462416930E+007,  2.562089774E+004
18.16688533134861,  1.941356268E+001,  1.741132212E-001,  1.462418458E+007,  2.562103480E+004
18.33333333333333,  1.911862282E+001,  1.717721600E-001,  1.463572860E+007,  2.572460947E+004
18.33355210616228,  1.911860963E+001,  1.717829038E-001,  1.463574366E+007,  2.572474477E+004
18.50000000000000,  1.882694786E+001,  1.697255125E-001,  1.464711221E+007,  2.582705658E+004
18.50021887946496,  1.882656574E+001,  1.699086556E-001,  1.464712705E+007,  2.582719046E+004
18.66666666666667,  1.854281555E+001,  1.677318726E-001,  1.465832258E+007,  2.592829252E+004
18.66688565129967,  1.854260339E+001,  1.678870935E-001,  1.465833720E+007,  2.592842488E+004
18.83333333333333,  1.827134589E+001,  1.657777662E-001,  1.466936676E+007,  2.602834241E+004
18.83355242165863,  1.827099837E+001,  1.658396890E-001,  1.466938117E+007,  2.602847321E+004
19.00000000000000,  1.800427447E+001,  1.640109260E-001,  1.468024926E+007,  2.612725232E+004
19.00021919064488,  1.800394435E+001,  1.642035820E-001,  1.468026347E+007,  2.612738189E+004
19.16666666666667,  1.773643949E+001,  1.623381451E-001,  1.469097129E+007,  2.622517659E+004
19.16688595830836,  1.773628310E+001,  1.624600514E-001,  1.469098530E+007,  2.622530485E+004
19.33333333333333,  1.747374214E+001,  1.606020255E-001,  1.470153400E+007,  2.632205772E+004
19.33355272462070,  1.747337852E+001,  1.606969160E-001,  1.470154780E+007,  2.632218464E+004
19.50000000000000,  1.721621695E+001,  1.589097988E-001,  1.471194086E+007,  2.641790465E+004
19.50021948960563,  1.721591825E+001,  1.590954957E-001,  1.471195446E+007,  2.641803036E+004
19.66666666666667,  1.696498385E+001,  1.572616889E-001,  1.472219540E+007,  2.651275058E+004
19.66688625327193,  1.696485470E+001,  1.573648915E-001,  1.472220881E+007,  2.651287498E+004
19.83333333333333,  1.672194743E+001,  1.556672286E-001,  1.473230110E+007,  2.660662635E+004
19.83355301562924,  1.672161551E+001,  1.557645132E-001,  1.473231433E+007,  2.660674954E+004
20.00000000000000,  1.648390315E+001,  1.541608826E-001,  1.474226252E+007,  2.669957196E+004
20.00021977671972,  1.648361951E+001,  1.543381293E-001,  1.474227556E+007,  2.669969408E+004
20.16666666666667,  1.625125878E+001,  1.526322889E-001,  1.475208268E+007,  2.679162814E+004
20.16688653649085,  1.625112742E+001,  1.527376563E-001,  1.475209554E+007,  2.679174904E+004
20.33333333333333,  1.602368370E+001,  1.514962066E-001,  1.476176454E+007,  2.688279307E+004
20.48931629093929,  1.582605047E+001,  1.627917267E-001,  1.477070588E+007,  2.697011571E+004
20.50000000000000,  1.581035030E+001,  1.603637309E-001,  1.477131428E+007,  2.697633729E+004
20.50022005237739,  1.581003788E+001,  1.605022904E-001,  1.477132681E+007,  2.697646444E+004
20.66666666666667,  1.557908603E+001,  1.493719651E-001,  1.478072899E+007,  2.706711920E+004
20.66688680939966,  1.557892427E+001,  1.494938900E-001,  1.478074134E+007,  2.706723767E+004
20.83333333333333,  1.535836044E+001,  1.478034621E-001,  1.479001009E+007,  2.715627642E+004
20.83355356487364,  1.535805979E+001,  1.478436865E-001,  1.479002227E+007,  2.715639363E+004
21.00000000000000,  1.514362124E+001,  1.460311889E-001,  1.479916065E+007,  2.724443146E+004
21.00022031894648,  1.514332539E+001,  1.461820096E-001,  1.479917266E+007,  2.724454741E+004
21.16666666666667,  1.493112531E+001,  1.445376887E-001,  1.480818274E+007,  2.733159209E+004
21.16688707186065,  1.493092512E+001,  1.446791936E-001,  1.480819459E+007,  2.733170689E+004
21.33333333333333,  1.472261561E+001,  1.431295301E-001,  1.481707862E+007,  2.741789043E+004
21.33355382370639,  1.472258872E+001,  1.431519413E-001,  1.481709031E+007,  2.741800406E+004
21.50000000000000,  1.451994924E+001,  1.417556265E-001,  1.482585119E+007,  2.750335495E+004
21.50022057445842,  1.451966244E+001,  1.418723862E-001,  1.482586272E+007,  2.750346760E+004
21.66666666666667,  1.432006679E+001,  1.404156980E-001,  1.483450305E+007,  2.758800560E+004
21.66688732414961,  1.431983092E+001,  1.405677332E-001,  1.483451442E+007,  2.758811726E+004
21.83333333333333,  1.412449805E+001,  1.390942355E-001,  1.484303620E+007,  2.767185789E+004
21.83355407279348,  1.412438550E+001,  1.391826720E-001,  1.484304743E+007,  2.767196849E+004
22.00000000000000,  1.393540651E+001,  1.377976385E-001,  1.485145395E+007,  2.775492356E+004
22.00022082039159,  1.393514237E+001,  1.378501556E-001,  1.485146503E+007,  2.775503314E+004
22.16666666666667,  1.374653539E+001,  1.365389604E-001,  1.485975844E+007,  2.783722417E+004
22.16688756699966,  1.374627717E+001,  1.366760293E-001,  1.485976938E+007,  2.783733286E+004
22.33333333333333,  1.356289037E+001,  1.352829300E-001,  1.486795090E+007,  2.791877151E+004
22.33355431261213,  1.356270526E+001,  1.354150091E-001,  1.486796169E+007,  2.791887924E+004
22.50000000000000,  1.338124634E+001,  1.340641470E-001,  1.487603407E+007,  2.799957618E+004
22.50022105725347,  1.338119210E+001,  1.341087271E-001,  1.487604472E+007,  2.799968291E+004
22.66666666666667,  1.320336805E+001,  1.328555788E-001,  1.488400897E+007,  2.807965299E+004
22.66688780094289,  1.320311806E+001,  1.329372104E-001,  1.488401949E+007,  2.807975882E+004
22.83333333333333,  1.302921433E+001,  1.316674790E-001,  1.489187858E+007,  2.815900855E+004
22.83355454367892,  1.302898335E+001,  1.318036787E-001,  1.489188895E+007,  2.815911351E+004
23.00000000000000,  1.286207167E+001,  1.304904454E-001,  1.489964543E+007,  2.823765679E+004
23.00022128546803,  1.286191859E+001,  1.306058135E-001,  1.489965567E+007,  2.823776084E+004
23.16666666666667,  1.269639163E+001,  1.293668305E-001,  1.490731300E+007,  2.831561411E+004
